Type	Date	Message
ham	28/06/17	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham	08/08/17	Ok lar... Joking wif u oni...
spam	04/09/17	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham	16/10/17	U dun say so early hor... U c already then say...
ham	02/04/17	Nah I don't think he goes to usf, he lives around here though
spam	02/03/17	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
ham	18/05/17	Even my brother is not like to speak with me. They treat me like aids patent.
ham	01/06/17	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam	20/09/17	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam	18/05/17	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham	16/02/17	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam	23/04/17	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
spam	13/03/17	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham	29/09/17	Finally the match heading towards draw as your prediction.
ham	11/10/17	Tired. I haven't slept well the past few nights.
ham	04/11/17	Easy ah?sen got selected means its good..
ham	01/08/17	I have to take exam with march 3
ham	08/09/17	Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham	24/01/17	Ok no prob. Take ur time.
ham	14/08/17	There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham	09/10/17	Sorry, I'll call later
ham	11/09/17	U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam	14/06/17	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
ham	14/11/17	Would really appreciate if you call me. Just need someone to talk to.
spam	12/03/17	Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES
ham	09/11/17	Hey company elama po mudyadhu.
ham	04/04/17	Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
ham	03/11/17	Dear good morning now only i am up
ham	01/09/17	Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham	14/03/17	Dear we are going to our rubber place
ham	03/09/17	Sorry battery died, yeah I'm here
ham	03/05/17	Yes:)here tv is always available in work place..
spam	05/11/17	Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham	17/02/17	I have printed it oh. So  &lt;#&gt;  come upstairs
ham	03/10/17	Or ill be a little closer like at the bus stop on the same street
ham	17/04/17	Where are you?when wil you reach here?
ham	01/01/17	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
ham	29/06/17	I love to give massages. I use lots of baby oil... What is your fave position?
ham	27/06/17	Dude we should go sup again
ham	19/10/17	Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham	20/03/17	Gibbs unsold.mike hussey
ham	14/07/17	I like to talk pa but am not able to. I dont know y.
ham	05/06/17	Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham	04/01/17	You unbelievable faglord
ham	02/03/17	Wife.how she knew the time of murder exactly
ham	14/11/17	Why do you ask princess?
ham	11/02/17	I am great princess! What are you thinking about me? :)
ham	12/11/17	Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham	20/04/17	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham	30/03/17	Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham	13/04/17	"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"
ham	23/03/17	Hope you are having a good week. Just checking in
ham	12/02/17	I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.
ham	01/07/17	Thursday night? Yeah, sure thing, we'll work it out then
spam	10/06/17	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham	08/01/17	Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham	16/06/17	How is it possible to teach you. And where.
ham	28/10/17	I wonder if your phone battery went dead ? I had to tell you, I love you babe
ham	20/01/17	Lovely smell on this bus and it ain't tobacco... 
ham	10/07/17	We're all getting worried over here, derek and taylor have already assumed the worst
ham	18/06/17	Hey what's up charles sorry about the late reply.
spam	28/05/17	all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468
ham	20/04/17	I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham	17/03/17	WHITE FUDGE OREOS ARE IN STORES
spam	25/08/17	January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)
ham	24/01/17	My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham	08/07/17	I am sorry it hurt you.
